model,bin_lower,bin_upper,samples,mean_confidence,accuracy,absolute_gap
LC25000_TransferCNN_DenseNet121_LeakageSafe,0.0,0.1,0,,,
LC25000_TransferCNN_DenseNet121_LeakageSafe,0.1,0.2,0,,,
LC25000_TransferCNN_DenseNet121_LeakageSafe,0.2,0.3,0,,,
LC25000_TransferCNN_DenseNet121_LeakageSafe,0.3,0.4,0,,,
LC25000_TransferCNN_DenseNet121_LeakageSafe,0.4,0.5,0,,,
LC25000_TransferCNN_DenseNet121_LeakageSafe,0.5,0.6,0,,,
LC25000_TransferCNN_DenseNet121_LeakageSafe,0.6,0.7,1,0.629084,1.0,0.370916
LC25000_TransferCNN_DenseNet121_LeakageSafe,0.7,0.8,0,,,
LC25000_TransferCNN_DenseNet121_LeakageSafe,0.8,0.9,0,,,
LC25000_TransferCNN_DenseNet121_LeakageSafe,0.9,1.0,3728,0.99993,1.0,7e-05
