model,metric,point_estimate,ci_lower_95,ci_upper_95,n_bootstraps,test_samples
LC25000_TransferCNN_ResNet18_LeakageSafe,accuracy,0.999195,0.998123,1.0,1000,3729
LC25000_TransferCNN_ResNet18_LeakageSafe,weighted_precision,0.999199,0.99814,1.0,1000,3729
LC25000_TransferCNN_ResNet18_LeakageSafe,weighted_recall,0.999195,0.998123,1.0,1000,3729
LC25000_TransferCNN_ResNet18_LeakageSafe,weighted_f1,0.999195,0.998123,1.0,1000,3729
LC25000_TransferCNN_ResNet18_LeakageSafe,macro_f1,0.999196,0.998148,1.0,1000,3729
LC25000_TransferCNN_ResNet18_LeakageSafe,balanced_accuracy,0.999189,0.998136,1.0,1000,3729
LC25000_TransferCNN_ResNet18_LeakageSafe,roc_auc,0.999999,0.999996,1.0,1000,3729
LC25000_SimpleCNN_LeakageSafe,accuracy,0.990078,0.986592,0.993028,1000,3729
LC25000_SimpleCNN_LeakageSafe,weighted_precision,0.99018,0.986762,0.993069,1000,3729
LC25000_SimpleCNN_LeakageSafe,weighted_recall,0.990078,0.986592,0.993028,1000,3729
LC25000_SimpleCNN_LeakageSafe,weighted_f1,0.990066,0.986576,0.993021,1000,3729
LC25000_SimpleCNN_LeakageSafe,macro_f1,0.99007,0.986656,0.993023,1000,3729
LC25000_SimpleCNN_LeakageSafe,balanced_accuracy,0.990107,0.986766,0.992944,1000,3729
LC25000_SimpleCNN_LeakageSafe,roc_auc,0.999821,0.999667,0.999938,1000,3729
LC25000_TransferCNN_DenseNet121_LeakageSafe,accuracy,1.0,1.0,1.0,1000,3729
LC25000_TransferCNN_DenseNet121_LeakageSafe,weighted_precision,1.0,1.0,1.0,1000,3729
LC25000_TransferCNN_DenseNet121_LeakageSafe,weighted_recall,1.0,1.0,1.0,1000,3729
LC25000_TransferCNN_DenseNet121_LeakageSafe,weighted_f1,1.0,1.0,1.0,1000,3729
LC25000_TransferCNN_DenseNet121_LeakageSafe,macro_f1,1.0,1.0,1.0,1000,3729
LC25000_TransferCNN_DenseNet121_LeakageSafe,balanced_accuracy,1.0,1.0,1.0,1000,3729
LC25000_TransferCNN_DenseNet121_LeakageSafe,roc_auc,1.0,1.0,1.0,1000,3729
LC25000_TransferCNN_EfficientNetB0_LeakageSafe,accuracy,1.0,1.0,1.0,1000,3729
LC25000_TransferCNN_EfficientNetB0_LeakageSafe,weighted_precision,1.0,1.0,1.0,1000,3729
LC25000_TransferCNN_EfficientNetB0_LeakageSafe,weighted_recall,1.0,1.0,1.0,1000,3729
LC25000_TransferCNN_EfficientNetB0_LeakageSafe,weighted_f1,1.0,1.0,1.0,1000,3729
LC25000_TransferCNN_EfficientNetB0_LeakageSafe,macro_f1,1.0,1.0,1.0,1000,3729
LC25000_TransferCNN_EfficientNetB0_LeakageSafe,balanced_accuracy,1.0,1.0,1.0,1000,3729
LC25000_TransferCNN_EfficientNetB0_LeakageSafe,roc_auc,1.0,1.0,1.0,1000,3729
