original_index,path,class_index,class_name,near_duplicate_group_id,resized_image_hash
0,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1.jpeg,0,colon adenocarcinoma,0,802813e81c3cf84a47b0f9d50c41a2b567c215afead3d78b7e518e83a739bb5e
1,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca10.jpeg,0,colon adenocarcinoma,1,a73bb45168b176878cb561f46868850b99e89717b0b6ff6b1dc47218d5e9fd90
2,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca100.jpeg,0,colon adenocarcinoma,2,08a5252e29061336cab34e57b10dc2a79257ef7538eaa6aaf02c1356ff299ab8
3,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1000.jpeg,0,colon adenocarcinoma,3,a10bf885bf9256101fde7eb95e2fc6d3832f8acb8916b661d6a05c82a3d32834
4,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1001.jpeg,0,colon adenocarcinoma,4,6ea1acc3b0cdaa934ae141539f82d27300351941da5d20d37258679a8d21d10c
5,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1002.jpeg,0,colon adenocarcinoma,5,e617b22dc9b4dea388f20aa4f06b84def17e759317d0fb82c64700fd9f7f81c1
6,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1003.jpeg,0,colon adenocarcinoma,6,6d8909ecb095965f6c2ddc7f20d5a74b00a373648f6b65cf558d73e13d97145f
7,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1004.jpeg,0,colon adenocarcinoma,7,a3ff09da467bb99282779de5569d4a40b2c41454a9fbbad9e77b475f88630730
8,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1005.jpeg,0,colon adenocarcinoma,8,858c9a72071ffe9d88031544876838a0102380484b372fe67f404ead7583a775
9,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1006.jpeg,0,colon adenocarcinoma,9,395847fe1fa84621f901fac926a70694c868594b9f03fbf8939917926cae9cec
10,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1007.jpeg,0,colon adenocarcinoma,10,c5d5f8ae211e4bd35ff17dacb8a303a8881021552995da87bd858b8762abbcbe
11,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1008.jpeg,0,colon adenocarcinoma,11,7ecfe98afc5c76c686a4fd3729c8e2b2707f9e1f7a35ed9b9d874a29f50c3dcc
12,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1009.jpeg,0,colon adenocarcinoma,12,c8f39ecc2fbae7c59b3abd9319e0c9090c05689e8f8f75cb9bcbfa6b68caef8c
13,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca101.jpeg,0,colon adenocarcinoma,13,d316859dd2109a8220bb1e4eedb04fcbb002c5ad775f838014000e47a9ad90ae
14,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1010.jpeg,0,colon adenocarcinoma,14,3d963679a266859f780deea6087114774e0999a813c1ff8781c7f9a0debe847e
15,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1011.jpeg,0,colon adenocarcinoma,15,034e275540af53d363c01760cb52d5ba8b0e9c738013c6d228472614a1822b07
16,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1012.jpeg,0,colon adenocarcinoma,16,57bd4ebe129c9e11e4d08af6f9b92dd39a2a4f646cc170454b58d8bc4d1b71b2
17,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1013.jpeg,0,colon adenocarcinoma,17,6dd54b625d747fd3221e354402c6dd5854837c5c5eaa3e2207b4ca6a9b831cac
18,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1014.jpeg,0,colon adenocarcinoma,18,2af024f27a80eff6801bc6cc78ba52aacd4b04ebabc968488e1e79625f6c18f5
19,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1015.jpeg,0,colon adenocarcinoma,19,b03d570f4fe50631c05cf0181023b917ec8ff4480332d7bc6471469b2d6fe8cb
20,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1016.jpeg,0,colon adenocarcinoma,20,958bec85f7a48f8001cf6a5bf364c9a5d7136287a2648f7de35894323443b004
